VIT_01s0011g00230	Vitvi01g00024	Vitis01g00019
VIT_18s0001g02570	Vitvi18g00262	Vitis18g00289
VIT_18s0001g02610	Vitvi18g00263	Vitis18g00290
VIT_18s0001g02810	Vitvi18g00275	Vitis18g00305
VIT_18s0001g03910	Vitvi18g00326	Vitis18g00371
VIT_18s0001g04140	Vitvi18g00334	Vitis18g00380
VIT_18s0001g04180	Vitvi18g00337	-
VIT_18s0001g04340	Vitvi18g00341	Vitis18g00387
VIT_18s0001g04630	Vitvi18g00353	Vitis18g00398
VIT_18s0001g04860	Vitvi18g00362	Vitis18g00410
VIT_18s0001g05680	Vitvi18g00407	Vitis18g00450
VIT_18s0001g05720	Vitvi18g00409	Vitis18g00454
VIT_18s0001g06650	Vitvi18g00463	Vitis18g00515
VIT_18s0001g07100	Vitvi18g00490	Vitis18g00540
VIT_18s0001g07120	Vitvi18g00491	Vitis18g00541
VIT_18s0001g07220	Vitvi18g00499	Vitis18g00551
VIT_18s0001g07280	Vitvi18g00504	Vitis18g00557
VIT_18s0001g07400	Vitvi18g00512	Vitis18g00571
VIT_18s0001g08150	Vitvi18g00577	Vitis18g00658
VIT_18s0001g08260	Vitvi18g00591	Vitis18g00671
VIT_18s0001g08380	Vitvi18g00602	Vitis18g00682
VIT_18s0001g08520	Vitvi18g00609	Vitis18g00691
VIT_18s0001g08650	Vitvi18g00623	Vitis18g00701
VIT_18s0001g09140	Vitvi18g00667	Vitis18g00745
VIT_18s0001g09910	Vitvi18g00730	Vitis18g00815
VIT_18s0001g09920	Vitvi18g00731	Vitis18g00816
VIT_18s0001g09990	Vitvi18g00740	Vitis18g00825
VIT_18s0001g10150	Vitvi18g04174	Vitis18g00837
VIT_18s0001g10380	Vitvi18g00777	Vitis18g00863
VIT_18s0001g10580	Vitvi18g02681	Vitis18g00882
VIT_18s0001g10720	Vitvi18g00808	Vitis18g00902
VIT_18s0001g10740	Vitvi18g00810	Vitis18g00904
VIT_18s0001g11090	Vitvi18g00835	Vitis18g00938
VIT_18s0001g11910	Vitvi18g00915	Vitis18g01025
VIT_18s0001g12020	Vitvi18g00924	Vitis18g01034
VIT_18s0001g12370	Vitvi18g00953	Vitis18g01069
VIT_18s0001g12780	Vitvi18g00986	Vitis18g01110
VIT_18s0001g12840	Vitvi18g02758	Vitis18g01116
VIT_18s0001g12940	Vitvi18g00996	-
VIT_18s0001g13360	Vitvi18g01034	Vitis18g01163
VIT_18s0001g13420	Vitvi18g01041	Vitis18g01171
VIT_18s0001g13520	Vitvi18g01048	Vitis18g01178
VIT_18s0001g13930	Vitvi18g01086	Vitis18g01221
VIT_18s0001g14010	Vitvi18g01095	Vitis18g01229
VIT_18s0001g14230	Vitvi18g01114	Vitis18g01252
VIT_18s0001g14670	Vitvi18g01149	Vitis18g01292
VIT_18s0001g14980	Vitvi18g01174	Vitis18g01319
VIT_18s0001g15410	Vitvi18g01223	Vitis18g01364
VIT_18s0166g00300	Vitvi18g01292	Vitis18g01456
VIT_18s0076g00360	Vitvi18g01299	Vitis18g01462
VIT_18s0001g00260	Vitvi18g01452	Vitis18g01784
VIT_18s0001g00940	Vitvi18g01587	Vitis18g01810
VIT_18s0001g01730	Vitvi18g01517	Vitis18g01848
VIT_18s0001g01870	Vitvi18g01522	Vitis18g01853
VIT_18s0157g00190	Vitvi18g01572	Vitis18g01893
VIT_18s0072g00940	Vitvi18g01670	Vitis18g02014
VIT_18s0072g01040	Vitvi18g01682	Vitis18g02030
VIT_18s0041g02410	Vitvi18g02167	Vitis18g02664
VIT_18s0041g02430	Vitvi18g02171	Vitis18g02668
VIT_18s0001g03660	Vitvi18g02321	Vitis18g02868
VIT_18s0089g00910	Vitvi18g02390	Vitis18g02976
VIT_19s0014g00070	Vitvi19g00005	Vitis19g00016
VIT_19s0014g00080	Vitvi19g00007	Vitis19g00017
VIT_19s0014g00870	Vitvi19g00061	Vitis19g00101
VIT_19s0014g00980	Vitvi19g00073	Vitis19g00110
VIT_19s0014g01640	Vitvi19g00138	Vitis19g00184
VIT_19s0014g01800	Vitvi19g00150	Vitis19g00203
VIT_19s0014g02190	Vitvi19g00186	Vitis19g00241
VIT_19s0014g02310	Vitvi19g00197	Vitis19g00253
VIT_19s0014g02350	Vitvi19g00200	Vitis19g00258
VIT_19s0014g02700	Vitvi19g00224	Vitis19g00290
VIT_19s0014g02840	Vitvi19g00234	Vitis19g00303
VIT_19s0177g00020	Vitvi19g00431	-
VIT_19s0177g00030	Vitvi19g00432	Vitis19g00604
VIT_19s0177g00310	Vitvi19g00458	Vitis19g00627
VIT_19s0090g00750	Vitvi19g00521	Vitis19g00697
VIT_19s0090g00920	Vitvi19g00538	Vitis19g00709
VIT_19s0090g01030	Vitvi19g00552	Vitis19g00721
VIT_19s0090g01220	Vitvi19g00570	Vitis19g00738
VIT_19s0090g01290	Vitvi19g00577	Vitis19g00745
VIT_19s0015g00130	Vitvi19g00654	Vitis19g00811
VIT_19s0015g01010	Vitvi19g00729	Vitis19g00890
VIT_19s0015g01720	Vitvi19g00904	Vitis19g01000
VIT_19s0135g00060	Vitvi19g01394	Vitis19g01207
VIT_19s0135g00030	Vitvi19g01400	Vitis19g01213
VIT_19s0176g00150	Vitvi19g04438	-
VIT_19s0093g00550	Vitvi19g01356	Vitis19g01299
VIT_19s0093g00510	Vitvi19g01352	Vitis19g01300
VIT_19s0027g01520	Vitvi19g01624	Vitis19g01621
VIT_19s0027g01790	Vitvi19g01655	Vitis19g01661
VIT_19s0085g00260	Vitvi19g01681	Vitis19g01699
VIT_19s0085g00370	Vitvi19g01690	Vitis19g01708
VIT_19s0085g00380	Vitvi19g01692	Vitis19g01709
VIT_19s0085g00600	Vitvi19g01710	Vitis19g01727
VIT_19s0085g00720	Vitvi19g01724	Vitis19g01739
VIT_19s0085g00820	Vitvi19g01733	Vitis19g01751
VIT_19s0085g00830	Vitvi19g01734	Vitis19g01752
VIT_19s0085g00880	Vitvi19g01741	Vitis19g01757
VIT_02s0234g00080	Vitvi02g01774	Vitis02g00694
VIT_00s0341g00040	Vitvi02g01733	Vitis02g00673
VIT_00s0598g00030	Vitvi00g04451	-
VIT_13s0064g01480	Vitvi00g04467	Vitis13g02180
VIT_04s0210g00070	Vitvi00g04635	Vitis04g01745
VIT_04s0210g00080	Vitvi00g04636	Vitis04g01748
VIT_00s0575g00010	Vitvi00g04683	Vitis10g01956
VIT_00s0575g00020	Vitvi00g04684	-
VIT_00s2526g00010	Vitvi00g04866	-
